x,y,client_age,clinick_distance,density_area,park_distance,vulnerable_group_density,social_infrastructure_rating
52.76886544994876,30.46694257789175,12,1,28,52,3,8
55.59864929530505,14.103712689147908,37,1,24,16,8,7
61.46154947234028,27.72782904872988,31,3,13,59,3,8
51.2106776400982,9.9134777968356,56,1,16,29,6,4
62.07086362722241,15.297741627153606,90,3,32,90,9,5
51.52643553071171,26.439304017120136,89,1,2,82,3,7
49.243111634520055,17.000600769327566,66,1,49,13,5,9
50.353636440152286,28.392047789239097,76,2,7,12,4,7
64.14990102325527,18.1628703984557,44,1,13,56,7,3
41.94822737975599,25.218579131687456,87,3,15,9,1,4
61.956558284901874,5.4149716195132935,83,1,19,97,8,2
37.35059258172453,22.70769486517159,49,1,46,90,6,2
43.63621625146269,29.63363534718,20,1,12,29,3,7
23.622385767925547,26.477010481084378,23,3,25,53,7,9
56.41389466361755,22.160682747370554,25,1,3,15,5,6
51.865560515967736,25.61913741787886,10,1,41,4,8,3
58.9713733991772,2.925953607371085,69,3,38,48,3,3
60.234225742828166,25.837600320857803,61,1,21,97,2,1
53.09958969069701,0.6477461073104591,86,1,8,1,3,4
64.04636040512476,31.249950225544342,32,2,39,60,8,1
67.55314278585767,14.108662495263616,7,2,13,45,5,1
47.075712284181314,18.85891109713727,53,3,22,18,3,4
55.4770784855117,7.1064875248117145,31,2,15,69,2,7
36.26720649978852,23.368353640744864,59,1,46,1,3,2
63.89546485297625,32.09393802766819,29,3,8,82,2,4
69.59535476499427,1.0060576222945712,13,2,22,3,1,8
54.52606184444672,2.378141240734614,83,1,10,41,3,4
27.2250626489734,33.78269704714117,28,3,29,67,4,2
44.42852015154145,18.88335782198756,64,3,9,92,3,7
57.24289034961824,4.618316843705179,67,1,44,50,6,8
67.41079409992744,1.911496806901681,52,2,33,73,6,3
50.61325107304594,33.260252820662906,13,2,38,91,6,2
48.08242487916418,13.71289921130966,37,2,19,4,1,9
57.36506548972028,23.304535576248654,16,1,14,25,8,5
36.97719019657706,19.084050603845327,86,1,29,86,2,7
46.50467586388566,28.317650569656287,18,1,46,11,6,4
64.49906152410286,6.091245212441294,36,3,6,50,6,8
44.05710548147191,22.814282637748537,1,1,31,44,4,4
55.270432290980494,26.55088479945332,61,2,15,80,4,2
43.71941530056846,29.765397083275985,46,1,4,88,7,5
70.33564565595015,-7.187288021819249,50,2,40,2,5,7
66.54264014292889,15.53747606324107,48,1,17,20,4,8
59.94370823461309,6.691116174991764,82,1,35,77,1,9
42.86627485929015,34.378593265684,5,1,11,75,6,8
53.13198186400827,27.7211000307428,65,1,40,88,9,3
56.22272328169654,7.694370388468115,77,3,19,92,7,6
42.978071550211794,11.47119796508496,19,1,2,95,2,4
69.75325478340078,10.685829210639303,51,3,37,85,3,4
44.01795673327835,20.68648450889518,44,2,37,19,8,1
40.67048357733402,11.509426944077973,82,1,30,91,7,7
56.20958535911145,17.688110553803174,3,1,42,43,1,8
59.24017035511792,15.907972608105236,3,2,44,80,5,2
44.675398907796286,28.36524498236313,63,3,19,47,6,9
34.2886854510069,20.49203550655155,45,3,21,71,4,1
43.50774316354562,37.54765456412489,34,2,3,46,4,2
58.88286606743495,9.690239407650909,8,2,2,78,7,8
53.93565215661407,30.18288375123292,24,2,34,68,7,3
56.41506230118362,6.014841372488238,72,2,13,25,8,3
31.37930145657424,32.359179391431795,89,1,11,79,2,8
43.22031314808083,38.64699224773273,42,1,31,44,7,9
68.94990612134575,13.658348578695788,11,3,10,43,7,2
55.30235752716362,22.023303593439607,62,3,4,56,7,6
44.78912121694916,22.88103831846087,69,2,25,45,6,3
57.79081402667296,29.852878177089075,72,3,21,35,2,3
53.77368566186828,16.997084367551977,41,3,1,94,1,3
49.53926320138983,30.552311985540832,93,1,46,31,2,2
42.803390938088896,35.597933408647506,27,2,42,75,4,6
54.780180104825696,17.18841306102918,83,2,14,49,7,8
52.85565161874997,39.74957366685984,28,1,49,26,1,5
61.52063694412272,10.421521311422204,62,2,42,87,8,3
52.129304464995016,36.832860709916936,25,2,33,50,5,1
51.87886867973906,23.98712577807376,9,2,39,97,7,2
64.45367882300911,30.58069669494879,88,2,15,20,2,6
35.56459274899934,16.430788536290517,46,1,39,29,8,6
64.91793976935895,26.53096039909622,28,3,17,65,4,1
48.19990866873954,25.020978556236727,83,1,28,71,5,3
54.373362825998655,35.54647138778518,25,3,16,95,1,8
50.26584325245643,27.092478855540644,94,2,18,91,8,4
40.802096152681486,9.622948305209269,29,2,21,9,6,6
47.881475544561,25.040014727913373,48,2,27,66,9,8
67.37821514883201,11.505375588193829,53,1,16,61,2,6
56.06549965766792,14.59589895216909,61,3,3,25,4,8
54.982714572317015,41.99702289530058,42,2,41,75,6,4
54.81586585579709,38.06618757059677,81,2,40,65,9,6
53.14254824345,39.649504523130496,65,1,6,97,7,8
47.831079428868776,48.12009695396468,58,3,33,31,3,7
59.10753861853376,28.930989662553905,46,1,33,91,7,9
66.55902511909494,25.762255472780733,82,2,24,19,5,5
62.85661341423052,25.09431889670184,82,2,2,18,2,1
54.62941860161519,1.0406071956425775,35,1,21,94,3,1
52.5461851023029,23.42590180619484,72,1,24,84,8,7
58.31408413083403,39.67809810917572,29,2,44,8,6,7
59.964572914141655,19.11210917794682,16,2,25,64,9,6
58.254123824443454,5.693178196949243,74,3,46,22,9,5
34.99712674375324,22.11114847351546,16,1,23,59,7,5
68.47067352946249,5.611922558909377,12,2,3,85,9,2
53.56498126110316,22.558459350391583,84,1,16,75,7,8
52.64254557526221,13.775701996363152,89,3,35,25,4,9
57.86527406080843,4.941857643181699,66,3,10,91,1,1
46.59941839876849,31.487997718494707,79,3,21,85,1,9
59.16656402289316,2.3263585636486948,19,2,18,52,3,7
53.65430273975704,23.793440896421814,48,1,36,35,9,3
57.751442444462896,33.28812617732161,85,1,42,52,1,4
